new_spot_id,rename,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD_1,VISIT_AREA_TYPE_CD_2,VISIT_AREA_TYPE_CD_3,VISIT_AREA_TYPE_CD_4,VISIT_AREA_TYPE_CD_5,VISIT_AREA_TYPE_CD_6,VISIT_AREA_TYPE_CD_7,VISIT_AREA_TYPE_CD_8,REVISIT_INTENTION,RCMDTN_INTENTION
spot_134,조랑말체험공원,42.0,체험 활동 관광지,missing,missing,missing,missing,missing,missing,missing,3.2,3.8
spot_135,보롬왓,69.23076923076923,체험 활동 관광지,자연관광지,"테마시설(놀이공원, 워터파크)","산책로, 둘레길 등",missing,missing,missing,missing,4.346153846153846,4.346153846153846
spot_136,절물자연휴양림,75.68181818181819,자연관광지,체험 활동 관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,4.431818181818182,4.5227272727272725
spot_137,렛츠런파크제주,139.0909090909091,"테마시설(놀이공원, 워터파크)",지역 축제/행사,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",missing,missing,missing,missing,missing,3.4545454545454546,3.272727272727273
spot_138,우도지석묘,30.0,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","산책로, 둘레길 등",missing,missing,missing,missing,missing,3.3333333333333335,3.6666666666666665
spot_139,도깨동산,45.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,3.5,3.5
spot_141,휴애리자연생활공원,90.6,자연관광지,"테마시설(놀이공원, 워터파크)",체험 활동 관광지,지역 축제/행사,missing,missing,missing,missing,3.82,3.88
spot_142,성이시돌목장,41.029411764705884,체험 활동 관광지,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","상업지구(거리, 시장, 쇼핑시설)","테마시설(놀이공원, 워터파크)","레저/스포츠 관련 시설(스키, 카트, 수상레저)",missing,missing,3.6323529411764706,3.838235294117647
spot_143,루나폴,99.6,"테마시설(놀이공원, 워터파크)",missing,missing,missing,missing,missing,missing,missing,4.0,4.4
spot_144,개월이오름,30.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,5.0,5.0
spot_145,노리매 매화공원,70.9090909090909,"테마시설(놀이공원, 워터파크)",자연관광지,"산책로, 둘레길 등",체험 활동 관광지,missing,missing,missing,missing,4.363636363636363,4.454545454545454
spot_146,스카이워터쇼,82.5,"문화 시설(공연장, 영화관, 전시관 등)",체험 활동 관광지,missing,missing,missing,missing,missing,missing,3.8333333333333335,3.9166666666666665
spot_147,한림공원,87.90697674418605,자연관광지,체험 활동 관광지,missing,missing,missing,missing,missing,missing,4.069767441860465,4.325581395348837
spot_148,아부오름,55.3125,자연관광지,"산책로, 둘레길 등",체험 활동 관광지,missing,missing,missing,missing,missing,3.875,4.25
spot_151,한라산국립공원,410.1980198019802,자연관광지,체험 활동 관광지,"산책로, 둘레길 등","역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","레저/스포츠 관련 시설(스키, 카트, 수상레저)",missing,missing,missing,4.405940594059406,4.633663366336633
spot_152,바이제주,51.666666666666664,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,4.277777777777778,4.388888888888889
spot_153,토토아뜰리에,135.0,체험 활동 관광지,missing,missing,missing,missing,missing,missing,missing,4.333333333333333,4.333333333333333
spot_154,더힐링타임,45.0,체험 활동 관광지,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,3.8,3.7
spot_155,외돌개,50.55555555555556,자연관광지,"산책로, 둘레길 등","역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,4.333333333333333,4.351851851851852
spot_156,군산오름 전망대,55.714285714285715,"산책로, 둘레길 등",자연관광지,missing,missing,missing,missing,missing,missing,3.7142857142857144,4.0
