iter	RMSE	R2	MAE
0	4.231193632	-24.59764954	4.147923626
1	4.15532147	-23.68786558	4.070894155
2	4.073319965	-22.72309455	3.987170021
3	3.993355637	-21.80080949	3.905803529
4	3.918554017	-20.95462199	3.829625614
5	3.842221839	-20.10761482	3.751851956
6	3.766890446	-19.28804817	3.674665232
7	3.695596692	-18.52735526	3.601896362
8	3.623669489	-17.77463258	3.528283277
9	3.55600145	-17.07998838	3.458982543
10	3.487161403	-16.38674907	3.388548879
11	3.420031407	-15.72378119	3.319855528
12	3.353841673	-15.08271632	3.251967188
13	3.291843596	-14.49361191	3.188490049
14	3.2289964	-13.90765761	3.124037191
15	3.168866321	-13.35760913	3.062316457
16	3.10768413	-12.80854845	2.999528135
17	3.049007756	-12.29203103	2.939069436
18	2.990461618	-11.78647263	2.878857533
19	2.933433782	-11.3034488	2.819999086
20	2.877740805	-10.84070709	2.762551219
21	2.824935907	-10.41015347	2.708119065
22	2.772196244	-9.988090548	2.653966906
23	2.720209823	-9.579839936	2.600600224
24	2.669058142	-9.185687714	2.547906373
25	2.620556193	-8.818863935	2.497970767
26	2.571698909	-8.45615385	2.447686103
27	2.525354779	-8.118409391	2.40012343
28	2.478474234	-7.783004493	2.351880128
29	2.433666586	-7.468304132	2.305471447
30	2.38908584	-7.160895122	2.25944288
31	2.345926136	-6.868699419	2.214983983
32	2.303072528	-6.583846221	2.17081161
33	2.261066545	-6.309723952	2.127641982
34	2.221338725	-6.055111209	2.086746286
35	2.181611819	-5.805017455	2.045944684
36	2.142917326	-5.565761765	2.006068782
37	2.105330418	-5.33745398	1.967301079
38	2.068235982	-5.116098443	1.928898611
39	2.031816752	-4.902600112	1.891331852
40	1.996292677	-4.698003549	1.854841162
41	1.96166351	-4.502034576	1.81938833
42	1.928000435	-4.314819787	1.784827808
43	1.894867269	-4.133716433	1.750761092
44	1.862876072	-3.96183384	1.717883986
45	1.831852375	-3.797944632	1.685972021
46	1.801263428	-3.639046767	1.654362511
47	1.771298477	-3.485984686	1.623556372
48	1.742112957	-3.339372272	1.593597056
49	1.714360087	-3.202216101	1.56513871
50	1.68660189	-3.067236754	1.536541094
51	1.660154092	-2.940679262	1.509475611
52	1.633751953	-2.816335328	1.482251959
53	1.608940499	-2.701299728	1.456889493
54	1.583759493	-2.586350652	1.431203526
55	1.55988908	-2.479058437	1.406922875
56	1.536795676	-2.3768094	1.383485481
57	1.513308237	-2.274380007	1.3596775
58	1.490545066	-2.176614478	1.336649482
59	1.468299848	-2.082505041	1.314227206
60	1.446771177	-1.992774427	1.292509926
61	1.42570554	-1.906256641	1.271448013
62	1.405226472	-1.823364391	1.251290325
63	1.385399818	-1.744255485	1.231858933
64	1.365866369	-1.667415753	1.212640604
65	1.346803326	-1.59347848	1.193933782
66	1.32870726	-1.524253135	1.176221318
67	1.310783924	-1.456611616	1.158806541
68	1.293437896	-1.392023546	1.142008028
69	1.276919829	-1.331318178	1.126234199
70	1.260507591	-1.271774492	1.110540886
71	1.244406904	-1.214109585	1.095267056
72	1.228762007	-1.158787216	1.080480225
73	1.21370338	-1.106199043	1.066184063
74	1.198945253	-1.05528945	1.052202
75	1.18475115	-1.006913092	1.038772317
76	1.170974469	-0.960510354	1.025757412
77	1.157528079	-0.9157434873	1.013071858
78	1.144539832	-0.8729928137	1.000851701
79	1.131883288	-0.8317980135	0.9890719522
80	1.119373335	-0.7915304858	0.9774181303
81	1.107351128	-0.7532546247	0.9662300602
82	1.095697524	-0.7165467998	0.9553286322
83	1.084514356	-0.681685962	0.9448927428
84	1.073693128	-0.6482938369	0.9347737094
85	1.063090601	-0.6159013562	0.9249005152
86	1.052915736	-0.585117718	0.9153690236
87	1.043085135	-0.5556568325	0.9061539891
88	1.033544164	-0.5273281865	0.897221078
89	1.024164477	-0.4997321621	0.8883814215
90	1.015021408	-0.4730744357	0.879833394
91	1.006239667	-0.4476952714	0.8715850415
92	0.9977033952	-0.4232368782	0.8635381467
93	0.9893864555	-0.3996073337	0.8556766979
94	0.9813753726	-0.3770337946	0.8481010994
95	0.9736108313	-0.3553300939	0.8406827443
96	0.9659152094	-0.33398915	0.8333409542
97	0.9585061818	-0.3136029784	0.8262100392
98	0.9514724611	-0.2943947233	0.8193655416
99	0.9446153729	-0.2758050192	0.8126613636
100	0.9380297006	-0.2580777083	0.8061746471
101	0.9318319582	-0.2415079077	0.8000937211
102	0.9255394602	-0.2247971502	0.7939374667
103	0.9194735962	-0.2087954401	0.7879892446
104	0.9136632785	-0.1935665217	0.782298173
105	0.9081585527	-0.1792276203	0.776917544
106	0.9026146535	-0.164874257	0.7715711458
107	0.8972811093	-0.1511484609	0.7664265901
108	0.8924013787	-0.1386618056	0.7617686768
109	0.8874868708	-0.1261549809	0.757146295
110	0.8826687082	-0.1139603916	0.7526215004
111	0.8781134795	-0.1024923277	0.748283174
112	0.8737666893	-0.09160434643	0.7442063504
113	0.8695820094	-0.08117347003	0.7402488149
114	0.8656407479	-0.07139513834	0.736531609
115	0.8618329732	-0.06199017774	0.7329292833
116	0.8579502925	-0.05244289702	0.7292744072
117	0.8544240498	-0.0438094307	0.7259344183
118	0.8509517469	-0.03534277347	0.7226241932
119	0.84753962	-0.02705643228	0.7194374397
120	0.8440391057	-0.01859004047	0.7161167136
121	0.8408457855	-0.01089719537	0.7130694614
122	0.8377372436	-0.003436593917	0.7101348358
123	0.8346537548	0.00393658013	0.7071359695
124	0.831718004	0.01093122023	0.7043087261
125	0.8288577752	0.01772222063	0.7014934923
126	0.8260904367	0.0242704064	0.6988519933
127	0.8235621747	0.0302337366	0.6964239899
128	0.8209218608	0.03644184824	0.693893387
129	0.818392603	0.04237014105	0.6914447564
130	0.8162249797	0.04743624698	0.6893293166
131	0.8141403609	0.05229568316	0.6872803
132	0.8118353648	0.05765437194	0.6849799111
133	0.8096114247	0.06281021954	0.6827738888
134	0.8073986744	0.06792608878	0.6806159483
135	0.8053074108	0.07274821189	0.6785373777
136	0.8033967964	0.07714285416	0.6765946985
137	0.8014443653	0.08162289582	0.6746539281
138	0.7994840004	0.08611017525	0.6727169408
139	0.7977002292	0.09018368215	0.6708979828
140	0.7959947982	0.09406977923	0.6691418623
141	0.7945019331	0.09746468428	0.6676136484
142	0.7928936581	0.1011149105	0.6659995912
143	0.7914303371	0.1044297147	0.6644688137
144	0.7900335496	0.1075880913	0.662975445
145	0.7886274152	0.1107619676	0.6615125845
146	0.7873299192	0.1136856136	0.6601319123
147	0.7860917879	0.1164710043	0.6588226879
148	0.7849457876	0.1190452238	0.6576201507
149	0.7836680001	0.1219110441	0.6562502069
150	0.7824604099	0.1246151346	0.6549417197
151	0.7813983474	0.1269899065	0.6537911297
152	0.780301492	0.1294390896	0.6525280312
153	0.7792317393	0.1318244407	0.651318923
154	0.7780663683	0.1344192787	0.6500666837
155	0.7769945629	0.1368023532	0.6489293633
156	0.7761249733	0.138733403	0.6478892961
157	0.7751329393	0.1409337182	0.6467669265
158	0.7741650072	0.1430778629	0.6456363377
159	0.7732710025	0.1450558654	0.6446133581
160	0.7723547708	0.1470806738	0.6435650907
