iter	Passed	Remaining
0	248	419312
1	401	338400
2	431	242699
3	451	190283
4	521	175559
5	539	151404
6	544	130854
7	591	124304
8	623	116416
9	669	112354
10	715	109145
11	745	104241
12	805	103789
13	816	97629
14	843	94080
15	863	90322
16	908	89319
17	965	89590
18	1015	89288
19	1065	88886
20	1118	88834
21	1167	88464
22	1182	85622
23	1189	82553
24	1244	82814
25	1303	83369
26	1325	81592
27	1402	83219
28	1588	90920
29	1694	93708
30	1771	94772
31	1849	95752
32	1928	96777
33	2027	98681
34	2074	98019
35	2093	96118
36	2140	95568
37	2166	94114
38	2214	93693
39	2277	93884
40	2328	93601
41	2359	92533
42	2412	92363
43	2433	90994
44	2482	90696
45	2502	89370
46	2507	87592
47	2519	86126
48	2534	84833
49	2571	84298
50	2600	83507
51	2645	83273
52	2652	81888
53	2679	81124
54	2735	81279
55	2991	87237
56	3129	89615
57	3168	89103
58	3246	89689
59	3320	90160
60	3332	88929
61	3336	87564
62	3383	87326
63	3433	87177
64	3447	86124
65	3487	85770
66	3520	85237
67	3599	85801
68	3659	85924
69	3714	85909
70	3747	85397
71	3765	84565
72	3815	84465
73	3824	83472
74	3840	82642
75	3875	82244
76	3914	81948
77	3965	81904
78	4094	83450
79	4370	87901
80	4416	87675
81	4423	86684
82	4481	86714
83	4551	86972
84	4561	86072
85	4622	86161
86	4679	86164
87	4696	85446
88	4708	84650
89	4763	84639
90	4784	84018
91	4814	83575
92	4845	83161
93	4903	83208
94	4958	83191
95	4972	82519
96	4984	81800
97	5018	81477
98	5077	81548
99	5086	80826
100	5136	80762
101	5192	80782
102	5254	80915
103	5311	80955
104	5370	81021
105	5515	82364
106	5787	85571
107	5836	85437
108	5879	85228
109	5937	85232
110	5987	85123
111	6019	84750
112	6039	84230
113	6047	83557
114	6095	83426
115	6143	83302
116	6162	82796
117	6174	82201
118	6203	81849
119	6247	81686
120	6297	81609
121	6309	81046
122	6355	80920
123	6363	80314
124	6423	80374
125	6474	80317
126	6488	79797
127	6494	79202
128	6506	78685
129	6554	78605
130	6589	78366
131	6643	78362
132	6652	77830
133	6701	77769
134	6751	77716
135	6777	77388
136	6983	79116
137	7103	79833
138	7131	79521
139	7186	79511
140	7200	79050
141	7251	79000
142	7328	79226
143	7382	79211
144	7429	79115
145	7451	78752
146	7496	78640
147	7520	78301
148	7565	78189
149	7615	78135
150	7666	78082
151	7718	78052
152	7742	77726
153	7790	77650
154	7845	77642
155	7861	77255
156	7912	77213
157	7966	77194
158	7993	76918
159	8054	76968
160	8106	76935
161	8270	77956
162	8426	78885
163	8566	79655
164	8635	79760
165	8649	79361
166	8712	79401
167	8733	79065
168	8789	79051
169	8840	78993
170	8862	78677
171	8908	78573
172	8922	78185
173	8956	77984
174	8979	77688
175	9035	77674
176	9103	77768
177	9150	77679
178	9176	77409
179	9194	77078
180	9237	76964
181	9297	76987
182	9357	77007
183	9392	76827
184	9423	76610
185	9436	76253
186	9461	75992
187	9481	75703
188	9530	75642
189	9605	75780
190	9973	78221
191	10040	78286
192	10060	77980
193	10117	77969
194	10173	77948
195	10224	77885
196	10235	77517
197	10283	77440
198	10352	77510
199	10407	77482
200	10468	77500
201	10517	77425
202	10568	77366
203	10626	77356
204	10684	77345
205	10736	77291
206	10801	77331
207	10858	77314
208	10923	77349
209	10931	76985
210	10996	77027
211	11342	79021
212	11414	79100
213	11501	79274
214	11600	79530
215	11666	79557
216	11717	79486
217	11770	79422
218	11784	79104
219	11832	79006
220	11880	78916
221	11935	78868
222	11953	78580
223	11999	78481
224	12047	78387
225	12071	78142
226	12125	78097
227	12178	78041
228	12237	78017
229	12255	77742
230	12302	77647
231	12351	77569
232	12454	77829
233	12766	79381
234	12836	79419
235	12854	79141
236	12926	79193
237	12980	79135
238	13034	79078
239	13085	79002
240	13137	78935
241	13164	78713
242	13220	78672
243	13277	78630
244	13334	78594
245	13384	78510
246	13434	78429
247	13486	78362
248	13538	78292
249	13588	78214
250	13648	78190
251	13659	77891
252	13690	77705
253	13709	77454
254	13769	77430
255	14019	78475
256	14222	79247
257	14288	79249
258	14321	79071
259	14383	79053
260	14440	79008
261	14503	78996
262	14523	78745
263	14572	78659
264	14625	78592
265	14674	78500
266	14725	78427
267	14751	78218
268	14771	77975
269	14818	77881
270	14873	77823
271	14919	77724
272	14939	77488
273	14984	77381
274	15053	77400
275	15100	77309
276	15153	77245
277	15240	77354
278	15510	78384
279	15570	78351
280	15669	78515
281	15752	78593
282	15804	78520
283	15853	78431
284	15910	78380
285	15957	78280
