iter	RMSE	R2	MAE
0	4.230555159	-24.59677073	4.147601557
1	4.150884285	-23.64175913	4.066719426
2	4.069536561	-22.68538039	3.983980207
3	3.989152726	-21.75892697	3.9021211
4	3.915288196	-20.92390568	3.827181652
5	3.838456664	-20.07190203	3.748550228
6	3.763046467	-19.25207919	3.671293793
7	3.692250545	-18.497224	3.599134768
8	3.620961753	-17.75159998	3.526015808
9	3.551755124	-17.04165967	3.455131747
10	3.484116203	-16.36103919	3.38621937
11	3.416760917	-15.6962768	3.317213138
12	3.350886226	-15.05867909	3.249763117
13	3.2860003	-14.44278597	3.182845685
14	3.222562111	-13.85227726	3.117690327
15	3.160397603	-13.28479138	3.05382524
16	3.100786425	-12.75099623	2.992667512
17	3.04202094	-12.23472292	2.932391441
18	2.984783859	-11.741373	2.873617824
19	2.928276478	-11.263505	2.81550435
20	2.873006396	-10.80493609	2.758773145
21	2.818920262	-10.36464927	2.703060499
22	2.765678401	-9.939407765	2.648021235
23	2.713354899	-9.529400834	2.594106648
24	2.664826102	-9.156128848	2.544169353
25	2.61567999	-8.784973973	2.493415516
26	2.567123272	-8.425055196	2.443115724
27	2.520406188	-8.085138017	2.394843889
28	2.473819382	-7.752385347	2.346483543
29	2.428276977	-7.433093185	2.299188314
30	2.384567104	-7.132228099	2.253829138
31	2.341503764	-6.841157466	2.209154893
32	2.300210422	-6.567032313	2.166547401
33	2.259694558	-6.302808868	2.124885951
34	2.219086174	-6.042693527	2.083004146
35	2.179197283	-5.791779101	2.04184058
36	2.141003227	-5.555790984	2.002483597
37	2.103046878	-5.325405352	1.963376878
38	2.066118092	-5.105211814	1.925495677
39	2.030559226	-4.896873037	1.888820083
40	1.995309399	-4.693914629	1.852686451
41	1.960880261	-4.499112498	1.817334619
42	1.928074597	-4.316650598	1.783873262
43	1.895061738	-4.136143879	1.749924802
44	1.862998219	-3.963812112	1.71708906
45	1.831666838	-3.798256055	1.684717865
46	1.801047253	-3.63917408	1.653078931
47	1.771208388	-3.486728344	1.6222875
48	1.742147844	-3.340706984	1.592315536
49	1.713770466	-3.200449455	1.563233368
50	1.685917962	-3.065026026	1.534765795
51	1.659870665	-2.940387694	1.508105071
52	1.633483818	-2.81610335	1.480967035
53	1.607784542	-2.696971926	1.454612291
54	1.582670858	-2.58238012	1.429041441
55	1.558803122	-2.475145468	1.404843559
56	1.535631352	-2.372596578	1.381375105
57	1.512402561	-2.271336829	1.357750931
58	1.489704266	-2.173880549	1.334767752
59	1.468410293	-2.083793546	1.313305097
60	1.446898118	-1.994100392	1.291533585
61	1.425948807	-1.908026254	1.270449976
62	1.405248318	-1.824207506	1.249956485
63	1.38564117	-1.745946125	1.230616005
64	1.366256525	-1.669653844	1.211526009
65	1.347341123	-1.596244475	1.19302537
66	1.328816854	-1.525344958	1.175066489
67	1.311283407	-1.459141881	1.158184492
68	1.293920221	-1.394448248	1.141565092
69	1.277074309	-1.332506117	1.125489443
70	1.260522292	-1.27243524	1.109681462
71	1.244401675	-1.21468329	1.094350297
72	1.228831895	-1.159610376	1.079587599
73	1.213784792	-1.107045132	1.065302351
74	1.199169027	-1.056606764	1.051449637
75	1.184719418	-1.007342448	1.037902435
76	1.170587089	-0.9597375519	1.02461164
77	1.157112862	-0.9148814704	1.012004012
78	1.144086095	-0.8720087287	0.9998677111
79	1.131731868	-0.8317978502	0.9883890325
80	1.119315365	-0.7918241499	0.9767286418
81	1.107409144	-0.7539074182	0.9656040986
82	1.095750864	-0.7171731867	0.9547323282
83	1.084638185	-0.6825199958	0.94438123
84	1.073774909	-0.6489859592	0.9342911053
85	1.062979418	-0.6159955692	0.9242924446
86	1.0527777	-0.5851260708	0.9147982885
87	1.042877258	-0.5554528411	0.9056186532
88	1.033295443	-0.527001569	0.8967375162
89	1.024165911	-0.5001375702	0.8882135398
90	1.014874975	-0.4730433989	0.8795896039
91	1.005821209	-0.4468783974	0.8712102404
92	0.9972111491	-0.4222132013	0.8631750569
93	0.9888569652	-0.3984836994	0.8552790292
94	0.9807679734	-0.3756976841	0.8476649547
95	0.9729688174	-0.3539053314	0.840224986
96	0.965572946	-0.3334005585	0.8332124334
97	0.9580988126	-0.3128377576	0.8259957543
98	0.9509402491	-0.2932929611	0.8190519624
99	0.9442594306	-0.2751847688	0.8126352546
100	0.9376723189	-0.2574555599	0.8062184845
101	0.9311756366	-0.2400913091	0.7998851866
102	0.925151703	-0.2240984837	0.7939946359
103	0.91913808	-0.2082365617	0.7881145259
