iter	RMSE	R2	MAE
0	4.229620022	-24.4598978	4.145909477
1	4.153682467	-23.55390302	4.068814144
2	4.071732527	-22.59458985	3.985131581
3	3.991821074	-21.67754736	3.903808292
4	3.917129625	-20.83684222	3.827733075
5	3.840841575	-19.99455808	3.749997377
6	3.76555748	-19.17959808	3.67284704
7	3.694275367	-18.4228286	3.600083245
8	3.624300077	-17.69400033	3.528581415
9	3.557957118	-17.01587536	3.460572223
10	3.490765555	-16.34184553	3.392003912
11	3.423221531	-15.67723159	3.322464909
12	3.356987397	-15.03811676	3.254492169
13	3.296220371	-14.46273908	3.192089178
14	3.232611887	-13.87171591	3.126985233
15	3.170347551	-13.30433586	3.062799304
16	3.110328023	-12.76785667	3.00118767
17	3.050713129	-12.24514422	2.939621214
18	2.992303561	-11.74281119	2.87957046
19	2.935305298	-11.26197726	2.820726367
20	2.880130555	-10.80533454	2.764068237
21	2.825530973	-10.36198193	2.708001171
22	2.772215691	-9.937246096	2.652932694
23	2.719856281	-9.527999651	2.599041759
24	2.668892787	-9.137157766	2.546281347
25	2.619498064	-8.765401705	2.49550228
26	2.571502383	-8.410827475	2.446073612
27	2.52428408	-8.06839453	2.397196689
28	2.479142171	-7.74695345	2.350674412
29	2.433587124	-7.428450633	2.30339644
30	2.388956461	-7.122139026	2.257390578
31	2.347505882	-6.842731152	2.214591569
32	2.306383107	-6.570365474	2.172336463
33	2.265498479	-6.304348726	2.130307187
34	2.225282308	-6.047323043	2.088850284
35	2.185265371	-5.79614	2.047668394
36	2.14759456	-5.563848369	2.008873594
37	2.109362463	-5.332225552	1.969480881
38	2.072282457	-5.111556774	1.931107955
39	2.036096292	-4.899980492	1.893656737
40	2.00143105	-4.700792266	1.858154945
41	1.967114288	-4.506975383	1.82299552
42	1.933403308	-4.319843594	1.788160575
43	1.901737499	-4.14701092	1.755700813
44	1.869692455	-3.975013923	1.72292785
45	1.838120745	-3.808415876	1.690556066
46	1.807460381	-3.649342311	1.659113619
47	1.777549394	-3.496735107	1.628325334
48	1.748550897	-3.35121463	1.598532998
49	1.720359078	-3.212036794	1.569804383
50	1.692125829	-3.074921611	1.541102177
51	1.664850365	-2.944612627	1.513142244
52	1.638239697	-2.819520453	1.485845487
53	1.61229944	-2.699519798	1.459327545
54	1.58720551	-2.58525685	1.433520538
55	1.562508	-2.474549066	1.408293332
56	1.538390064	-2.368114772	1.38385735
57	1.515349342	-2.26798067	1.360610131
58	1.492728653	-2.171141988	1.337680236
59	1.471128593	-2.080031956	1.316025934
60	1.4508075	-1.995529036	1.295798848
