iter	Passed	Remaining
0	78	131974
1	299	252251
2	324	182380
3	385	162332
4	441	148734
5	474	133124
6	489	117541
7	536	112653
8	587	109595
9	637	107017
10	690	105311
11	728	101793
12	760	97987
13	828	99087
14	864	96467
15	875	91575
16	928	91302
17	938	87145
18	955	84016
19	964	80453
20	1009	80164
21	1034	78374
22	1042	75525
23	1056	73279
24	1064	70847
25	1112	71134
26	1167	71864
27	1200	71224
28	1246	71374
29	1258	69611
30	1283	68650
31	1431	74128
32	1534	76979
33	1608	78292
34	1668	78843
35	1695	77830
36	1751	78211
37	1766	76733
38	1775	75137
39	1789	73761
40	1844	74121
41	1901	74584
42	1917	73416
43	1975	73851
44	2038	74468
45	2075	74143
46	2122	74139
47	2130	72838
48	2149	71940
49	2199	72111
50	2254	72400
51	2274	71595
52	2302	71062
53	2351	71208
54	2363	70216
55	2371	69162
56	2401	68770
57	2460	69188
58	2561	70780
59	2629	71384
60	2684	71644
61	2695	70728
62	2740	70739
63	2766	70253
64	2787	69655
65	2814	69208
66	2834	68629
67	2886	68806
68	2913	68397
69	2960	68479
70	3014	68700
71	3036	68193
72	3089	68391
73	3116	68018
74	3129	67338
75	3172	67340
76	3183	66652
77	3236	66844
78	3295	67157
79	3326	66913
80	3384	67186
81	3442	67456
82	3492	67568
83	3511	67091
84	3535	66709
85	3597	67047
86	3777	69564
87	3821	69519
88	3835	68956
89	3856	68514
90	3872	68005
91	3885	67442
92	3933	67499
93	3987	67660
94	4012	67323
95	4018	66674
96	4026	66081
97	4082	66285
98	4095	65774
99	4145	65871
100	4198	66005
101	4225	65741
102	4283	65963
103	4336	66085
104	4386	66178
105	4421	66032
106	4462	65974
107	4472	65465
108	4477	64896
109	4525	64958
110	4533	64455
111	4542	63966
112	4571	63755
113	4625	63899
114	4678	64036
115	4735	64214
116	4744	63744
117	4765	63451
118	4941	65188
119	4979	65107
120	5033	65233
121	5054	64918
122	5111	65079
123	5163	65162
124	5220	65319
125	5238	64985
126	5284	65000
127	5296	64586
128	5301	64111
129	5316	63751
130	5373	63902
131	5430	64054
132	5484	64165
133	5538	64274
134	5559	63992
135	5587	63802
136	5618	63653
137	5670	63732
138	5690	63460
139	5746	63584
140	5855	64287
141	6000	65375
142	6068	65605
143	6084	65278
144	6137	65350
145	6188	65404
146	6241	65476
147	6300	65596
148	6354	65677
149	6407	65737
150	6425	65443
151	6480	65533
152	6504	65295
153	6528	65072
154	6585	65172
155	6639	65247
156	6690	65290
157	6751	65420
158	6764	65089
159	6796	64946
160	6835	64872
161	6850	64568
162	6865	64277
163	6920	64348
164	6977	64445
165	7048	64671
166	7287	66415
167	7320	66280
168	7361	66208
169	7379	65934
170	7431	65967
171	7488	66046
172	7564	66289
173	7580	65999
174	7648	66173
175	7659	65844
176	7720	65951
177	7771	65969
178	7829	66044
179	7889	66142
180	7947	66211
181	7956	65880
182	8008	65908
183	8019	65597
184	8032	65302
185	8092	65389
186	8157	65525
187	8201	65482
188	8261	65568
189	8457	66724
190	8548	67047
191	8642	67383
192	8704	67472
193	8762	67522
194	8780	67269
195	8835	67299
196	8896	67376
197	8909	67092
