TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_ACCOMPANY,TRAVEL_COMPANIONS_NUM,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8
a003119,여,40대,2인 여행(가족 외),1,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",여행 동반자와의 친밀감 및 유대감 증진,SNS 사진 등록 등 과시,자연중간선호,숙박매우선호,중립,불편하지만저렴한숙소약간선호,휴양또는휴식약간선호,잘알려지지않은방문지약간선호,중립,중립
d009488,여,40대,2인 여행(가족 외),1,여행 동반자와의 친밀감 및 유대감 증진,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식","운동, 건강 증진 및 충전",자연매우선호,당일매우선호,중립,불편하지만저렴한숙소약간선호,체험활동약간선호,잘알려지지않은방문지매우선호,상황에따른여행중간선호,사진촬영중요하지않음중간선호
d001368,남,40대,부모 동반 여행,4,여행 동반자와의 친밀감 및 유대감 증진,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피","쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",중립,숙박중간선호,새로운지역중간선호,편하지만비싼숙소중간선호,휴양또는휴식약간선호,잘알려지지않은방문지약간선호,중립,중립
a002101,남,20대,2인 여행(가족 외),1,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",여행 동반자와의 친밀감 및 유대감 증진,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",중립,중립,중립,중립,중립,중립,상황에따른여행매우선호,사진촬영중요하지않음매우선호
d002137,여,20대,부모 동반 여행,3,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식","특별한 목적(칠순여행, 신혼여행, 수학여행, 인센티브여행)",여행 동반자와의 친밀감 및 유대감 증진,도시중간선호,중립,익순한지역약간선호,편하지만비싼숙소중간선호,체험활동중간선호,중립,상황에따른여행약간선호,사진촬영중요약간선호
d003432,여,40대,자녀 동반 여행,3,여행 동반자와의 친밀감 및 유대감 증진,"역사 탐방, 문화적 경험 등 교육적 동기","쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",자연매우선호,숙박매우선호,새로운지역매우선호,중립,휴양또는휴식약간선호,잘알려지지않은방문지약간선호,계획에따른여행매우선호,사진촬영중요매우선호
d000754,여,20대,3인 이상 여행(가족 외),2,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식","일상적인 환경 및 역할에서의 탈출, 지루함 탈피",여행 동반자와의 친밀감 및 유대감 증진,도시약간선호,숙박중간선호,새로운지역약간선호,중립,체험활동약간선호,잘알려지지않은방문지약간선호,상황에따른여행중간선호,중립
d003135,여,40대,2인 가족 여행,1,"역사 탐방, 문화적 경험 등 교육적 동기",새로운 경험 추구,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",자연매우선호,중립,새로운지역중간선호,편하지만비싼숙소약간선호,중립,중립,중립,사진촬영중요매우선호
d007104,여,40대,자녀 동반 여행,2,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",여행 동반자와의 친밀감 및 유대감 증진,"역사 탐방, 문화적 경험 등 교육적 동기",자연약간선호,숙박중간선호,익순한지역약간선호,중립,휴양또는휴식약간선호,잘알려지지않은방문지중간선호,상황에따른여행약간선호,중립
d009194,여,20대,부모 동반 여행,2,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",여행 동반자와의 친밀감 및 유대감 증진,새로운 경험 추구,자연매우선호,숙박중간선호,새로운지역중간선호,중립,체험활동약간선호,잘알려지지않은방문지중간선호,상황에따른여행약간선호,사진촬영중요중간선호
