TRAVEL_ID,TRAVELER_ID,TRAVEL_RANGE,TRAVEL_MISSION_1,TRAVEL_MISSION_2,TRAVEL_MISSION_3,TRAVEL_MISSION_4,TRAVEL_MISSION_5,TRAVEL_MISSION_6,TRAVEL_MISSION_7,TRAVEL_MISSION_8,TRAVEL_MISSION_9,TRAVEL_MISSION_10,TRAVEL_MISSION_11,TRAVEL_MISSION_12,TRAVEL_MISSION_13,TRAVEL_MISSION_14,TRAVEL_MISSION_15,TRAVEL_MISSION_16,TRAVEL_MISSION_17,TRAVEL_MISSION_18,TRAVEL_MISSION_19,TRAVEL_MISSION_20,TRAVEL_MISSION_21
b_b010312,b010312,2박 3일,쇼핑,Well-ness 여행,SNS 인생샷 여행,신규 여행지 발굴,친환경 여행(플로깅 여행),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
b_b005266,b005266,2박 3일,Well-ness 여행,SNS 인생샷 여행,호캉스 여행,신규 여행지 발굴,인플루언서 따라하기 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d000296,d000296,4박 5일,"테마파크, 놀이시설, 동/식물원 방문",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d002565,d002565,3박 4일,SNS 인생샷 여행,호캉스 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d006390,d006390,4박 5일,"테마파크, 놀이시설, 동/식물원 방문",SNS 인생샷 여행,시티투어,"야외 스포츠, 레포츠 활동",지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d003854,d003854,2박 3일,"테마파크, 놀이시설, 동/식물원 방문",역사 유적지 방문,쇼핑,유흥/오락(나이트라이프),캠핑,지역 축제/이벤트 참가,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d007597,d007597,3박 4일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",역사 유적지 방문,시티투어,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d006739,d006739,4박 5일,호캉스 여행,신규 여행지 발굴,인플루언서 따라하기 여행,친환경 여행(플로깅 여행),등반 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d000275,d000275,3박 4일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",역사 유적지 방문,시티투어,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
c_c000085,c000085,4박 5일,쇼핑,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d003259,d003259,2박 3일,온천/스파,드라마 촬영지 방문,"테마파크, 놀이시설, 동/식물원 방문",호캉스 여행,등반 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
b_b006208,b006208,2박 3일,Well-ness 여행,SNS 인생샷 여행,신규 여행지 발굴,인플루언서 따라하기 여행,친환경 여행(플로깅 여행),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
b_b001355,b001355,4박 5일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",역사 유적지 방문,시티투어,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d007987,d007987,5박 6일,Well-ness 여행,SNS 인생샷 여행,인플루언서 따라하기 여행,시티투어,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d002379,d002379,5박 6일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",신규 여행지 발굴,인플루언서 따라하기 여행,등반 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
b_b005802,b005802,2박 3일,쇼핑,Well-ness 여행,"야외 스포츠, 레포츠 활동",지역 문화예술/공연/전시시설 관람,지역 축제/이벤트 참가,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d004837,d004837,3박 4일,SNS 인생샷 여행,호캉스 여행,친환경 여행(플로깅 여행),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d003939,d003939,1박 2일,Well-ness 여행,쇼핑,SNS 인생샷 여행,등반 여행,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
a_a007331,a007331,1박 2일,SNS 인생샷 여행,반려동물 동반 여행,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d009270,d009270,3박 4일,신규 여행지 발굴,인플루언서 따라하기 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d010159,d010159,3박 4일,쇼핑,교육/체험 프로그램 참가,"테마파크, 놀이시설, 동/식물원 방문",역사 유적지 방문,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d003397,d003397,2박 3일,Well-ness 여행,"야외 스포츠, 레포츠 활동",유흥/오락(나이트라이프),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d010178,d010178,2박 3일,"테마파크, 놀이시설, 동/식물원 방문",호캉스 여행,역사 유적지 방문,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d012397,d012397,1박 2일,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
c_c001508,c001508,3박 4일,역사 유적지 방문,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d009260,d009260,3박 4일,"테마파크, 놀이시설, 동/식물원 방문","야외 스포츠, 레포츠 활동",온천/스파,유흥/오락(나이트라이프),SNS 인생샷 여행,호캉스 여행,신규 여행지 발굴,인플루언서 따라하기 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d010399,d010399,2박 3일,쇼핑,"야외 스포츠, 레포츠 활동",지역 문화예술/공연/전시시설 관람,유흥/오락(나이트라이프),지역 축제/이벤트 참가,SNS 인생샷 여행,호캉스 여행,신규 여행지 발굴,Well-ness 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
b_b005639,b005639,1박 2일,Well-ness 여행,신규 여행지 발굴,친환경 여행(플로깅 여행),역사 유적지 방문,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
a_a008260,a008260,2박 3일,SNS 인생샷 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d002476,d002476,4박 5일,"테마파크, 놀이시설, 동/식물원 방문",Well-ness 여행,SNS 인생샷 여행,호캉스 여행,신규 여행지 발굴,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d002079,d002079,5박 6일,쇼핑,교육/체험 프로그램 참가,드라마 촬영지 방문,"테마파크, 놀이시설, 동/식물원 방문",지역 축제/이벤트 참가,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d004970,d004970,1박 2일,Well-ness 여행,반려동물 동반 여행,역사 유적지 방문,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d001522,d001522,5박 6일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",인플루언서 따라하기 여행,시티투어,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d005964,d005964,4박 5일,SNS 인생샷 여행,호캉스 여행,신규 여행지 발굴,"야외 스포츠, 레포츠 활동",유흥/오락(나이트라이프),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d005563,d005563,3박 4일,"테마파크, 놀이시설, 동/식물원 방문","테마파크, 놀이시설, 동/식물원 방문",역사 유적지 방문,시티투어,"야외 스포츠, 레포츠 활동",지역 문화예술/공연/전시시설 관람,유흥/오락(나이트라이프),캠핑,지역 축제/이벤트 참가,온천/스파,교육/체험 프로그램 참가,드라마 촬영지 방문,등반 여행,Well-ness 여행,SNS 인생샷 여행,등반 여행,신규 여행지 발굴,인플루언서 따라하기 여행,등반 여행,등반 여행,missing
d_d003620,d003620,3박 4일,지역 문화예술/공연/전시시설 관람,"테마파크, 놀이시설, 동/식물원 방문",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d005539,d005539,2박 3일,캠핑,SNS 인생샷 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d006731,d006731,5박 6일,"테마파크, 놀이시설, 동/식물원 방문",Well-ness 여행,SNS 인생샷 여행,호캉스 여행,신규 여행지 발굴,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
b_b000051,b000051,2박 3일,"테마파크, 놀이시설, 동/식물원 방문",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
a_a014141,a014141,1박 2일,역사 유적지 방문,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d001464,d001464,1박 2일,Well-ness 여행,SNS 인생샷 여행,인플루언서 따라하기 여행,역사 유적지 방문,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
a_a007875,a007875,1박 2일,Well-ness 여행,SNS 인생샷 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
b_b004383,b004383,2박 3일,쇼핑,교육/체험 프로그램 참가,SNS 인생샷 여행,신규 여행지 발굴,캠핑,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d000364,d000364,3박 4일,쇼핑,호캉스 여행,신규 여행지 발굴,시티투어,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d001192,d001192,3박 4일,Well-ness 여행,호캉스 여행,신규 여행지 발굴,등반 여행,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
b_b000187,b000187,3박 4일,"테마파크, 놀이시설, 동/식물원 방문",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d004432,d004432,4박 5일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",시티투어,유흥/오락(나이트라이프),교육/체험 프로그램 참가,호캉스 여행,신규 여행지 발굴,인플루언서 따라하기 여행,친환경 여행(플로깅 여행),Well-ness 여행,SNS 인생샷 여행,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d002666,d002666,3박 4일,"테마파크, 놀이시설, 동/식물원 방문",친환경 여행(플로깅 여행),등반 여행,역사 유적지 방문,지역 축제/이벤트 참가,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
a_a014437,a014437,3박 4일,"테마파크, 놀이시설, 동/식물원 방문",Well-ness 여행,인플루언서 따라하기 여행,친환경 여행(플로깅 여행),지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d010012,d010012,1박 2일,교육/체험 프로그램 참가,Well-ness 여행,SNS 인생샷 여행,인플루언서 따라하기 여행,친환경 여행(플로깅 여행),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d001585,d001585,7박 8일,쇼핑,SNS 인생샷 여행,호캉스 여행,역사 유적지 방문,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d001041,d001041,4박 5일,SNS 인생샷 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d008247,d008247,5박 6일,지역 문화예술/공연/전시시설 관람,온천/스파,드라마 촬영지 방문,SNS 인생샷 여행,"테마파크, 놀이시설, 동/식물원 방문",역사 유적지 방문,시티투어,호캉스 여행,신규 여행지 발굴,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d000672,d000672,3박 4일,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d002308,d002308,5박 6일,종교/성지 순례,"테마파크, 놀이시설, 동/식물원 방문",SNS 인생샷 여행,역사 유적지 방문,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d000787,d000787,3박 4일,쇼핑,친환경 여행(플로깅 여행),"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
a_a000651,a000651,1박 2일,Well-ness 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d005584,d005584,1박 2일,시티투어,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d004914,d004914,3박 4일,쇼핑,온천/스파,"테마파크, 놀이시설, 동/식물원 방문",인플루언서 따라하기 여행,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
a_a001302,a001302,3박 4일,SNS 인생샷 여행,신규 여행지 발굴,친환경 여행(플로깅 여행),역사 유적지 방문,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d003517,d003517,4박 5일,드라마 촬영지 방문,SNS 인생샷 여행,신규 여행지 발굴,시티투어,유흥/오락(나이트라이프),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d009467,d009467,3박 4일,시티투어,쇼핑,SNS 인생샷 여행,신규 여행지 발굴,인플루언서 따라하기 여행,Well-ness 여행,지역 문화예술/공연/전시시설 관람,친환경 여행(플로깅 여행),호캉스 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d005789,d005789,2박 3일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",SNS 인생샷 여행,시티투어,캠핑,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d000285,d000285,4박 5일,"테마파크, 놀이시설, 동/식물원 방문",호캉스 여행,신규 여행지 발굴,시티투어,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d001983,d001983,3박 4일,쇼핑,역사 유적지 방문,시티투어,"야외 스포츠, 레포츠 활동",지역 축제/이벤트 참가,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d002808,d002808,2박 3일,지역 문화예술/공연/전시시설 관람,쇼핑,Well-ness 여행,"테마파크, 놀이시설, 동/식물원 방문",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
a_a000409,a000409,2박 3일,SNS 인생샷 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d003058,d003058,4박 5일,Well-ness 여행,등반 여행,신규 여행지 발굴,SNS 인생샷 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d003608,d003608,2박 3일,"테마파크, 놀이시설, 동/식물원 방문",SNS 인생샷 여행,호캉스 여행,신규 여행지 발굴,반려동물 동반 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d006210,d006210,2박 3일,Well-ness 여행,SNS 인생샷 여행,등반 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
a_a000007,a000007,3박 4일,"테마파크, 놀이시설, 동/식물원 방문",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d009311,d009311,2박 3일,호캉스 여행,드라마 촬영지 방문,온천/스파,쇼핑,SNS 인생샷 여행,인플루언서 따라하기 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d007149,d007149,4박 5일,지역 문화예술/공연/전시시설 관람,지역 축제/이벤트 참가,호캉스 여행,Well-ness 여행,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",드라마 촬영지 방문,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d007848,d007848,3박 4일,온천/스파,친환경 여행(플로깅 여행),등반 여행,역사 유적지 방문,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d002440,d002440,4박 5일,교육/체험 프로그램 참가,"테마파크, 놀이시설, 동/식물원 방문",신규 여행지 발굴,등반 여행,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d001415,d001415,3박 4일,SNS 인생샷 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d009485,d009485,1박 2일,드라마 촬영지 방문,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d010245,d010245,5박 6일,쇼핑,드라마 촬영지 방문,SNS 인생샷 여행,신규 여행지 발굴,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d001748,d001748,2박 3일,신규 여행지 발굴,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
b_b003039,b003039,2박 3일,온천/스파,"테마파크, 놀이시설, 동/식물원 방문","야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d012297,d012297,1박 2일,SNS 인생샷 여행,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d000470,d000470,2박 3일,쇼핑,종교/성지 순례,"테마파크, 놀이시설, 동/식물원 방문","야외 스포츠, 레포츠 활동",지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
b_b002162,b002162,3박 4일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",등반 여행,역사 유적지 방문,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
a_a012239,a012239,2박 3일,"테마파크, 놀이시설, 동/식물원 방문",SNS 인생샷 여행,호캉스 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
b_b004416,b004416,2박 3일,드라마 촬영지 방문,Well-ness 여행,신규 여행지 발굴,인플루언서 따라하기 여행,친환경 여행(플로깅 여행),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d003862,d003862,4박 5일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",시티투어,지역 문화예술/공연/전시시설 관람,유흥/오락(나이트라이프),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
a_a001362,a001362,2박 3일,쇼핑,SNS 인생샷 여행,신규 여행지 발굴,인플루언서 따라하기 여행,캠핑,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d002864,d002864,2박 3일,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d005979,d005979,4박 5일,쇼핑,SNS 인생샷 여행,반려동물 동반 여행,등반 여행,시티투어,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d004918,d004918,4박 5일,지역 문화예술/공연/전시시설 관람,시티투어,SNS 인생샷 여행,쇼핑,인플루언서 따라하기 여행,등반 여행,친환경 여행(플로깅 여행),신규 여행지 발굴,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
c_c004517,c004517,2박 3일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",호캉스 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
b_b012228,b012228,1박 2일,쇼핑,SNS 인생샷 여행,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d003272,d003272,3박 4일,쇼핑,신규 여행지 발굴,호캉스 여행,등반 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d006946,d006946,2박 3일,"야외 스포츠, 레포츠 활동",Well-ness 여행,SNS 인생샷 여행,호캉스 여행,인플루언서 따라하기 여행,친환경 여행(플로깅 여행),지역 문화예술/공연/전시시설 관람,온천/스파,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d005498,d005498,1박 2일,Well-ness 여행,SNS 인생샷 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d000846,d000846,4박 5일,호캉스 여행,신규 여행지 발굴,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d008026,d008026,5박 6일,쇼핑,교육/체험 프로그램 참가,"테마파크, 놀이시설, 동/식물원 방문",시티투어,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d004179,d004179,2박 3일,온천/스파,Well-ness 여행,SNS 인생샷 여행,호캉스 여행,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d003546,d003546,3박 4일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",등반 여행,역사 유적지 방문,시티투어,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
a_a003310,a003310,2박 3일,쇼핑,SNS 인생샷 여행,호캉스 여행,시티투어,지역 축제/이벤트 참가,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d001618,d001618,3박 4일,"테마파크, 놀이시설, 동/식물원 방문",등반 여행,"야외 스포츠, 레포츠 활동",지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
a_a003265,a003265,2박 3일,온천/스파,"테마파크, 놀이시설, 동/식물원 방문",SNS 인생샷 여행,호캉스 여행,인플루언서 따라하기 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d003329,d003329,8박 9일,호캉스 여행,신규 여행지 발굴,반려동물 동반 여행,인플루언서 따라하기 여행,친환경 여행(플로깅 여행),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d010328,d010328,4박 5일,쇼핑,종교/성지 순례,SNS 인생샷 여행,인플루언서 따라하기 여행,지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d005129,d005129,3박 4일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",친환경 여행(플로깅 여행),등반 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d001178,d001178,3박 4일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",호캉스 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d004084,d004084,3박 4일,등반 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d003649,d003649,3박 4일,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d006063,d006063,2박 3일,등반 여행,드라마 촬영지 방문,Well-ness 여행,SNS 인생샷 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d001925,d001925,3박 4일,쇼핑,SNS 인생샷 여행,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d000381,d000381,5박 6일,교육/체험 프로그램 참가,"테마파크, 놀이시설, 동/식물원 방문",SNS 인생샷 여행,신규 여행지 발굴,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
b_b009811,b009811,2박 3일,드라마 촬영지 방문,종교/성지 순례,SNS 인생샷 여행,신규 여행지 발굴,인플루언서 따라하기 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d007774,d007774,3박 4일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",역사 유적지 방문,시티투어,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d001331,d001331,3박 4일,쇼핑,Well-ness 여행,SNS 인생샷 여행,신규 여행지 발굴,인플루언서 따라하기 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d009804,d009804,2박 3일,SNS 인생샷 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
a_a000220,a000220,3박 4일,SNS 인생샷 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
