iter	RMSE	R2	MAE
0	4.23102311	-24.66497004	4.147972059
1	4.15511536	-23.75233294	4.070900098
2	4.073105954	-22.78490284	3.987174288
3	3.99314325	-21.86018534	3.905814194
4	3.918155367	-21.00965691	3.829450912
5	3.841825004	-20.16046096	3.751676704
6	3.766490792	-19.33872792	3.67449082
7	3.695178492	-18.57585815	3.60169529
8	3.623261341	-17.82128569	3.528101589
9	3.555621161	-17.12512169	3.458827642
10	3.486812225	-16.43038928	3.388425763
11	3.419073193	-15.75972015	3.318685368
12	3.353166466	-15.11982026	3.251049454
13	3.288406102	-14.50318242	3.184622798
14	3.226648837	-13.92634145	3.12129405
15	3.164496281	-13.35684943	3.057459243
16	3.104849363	-12.82073168	2.995931207
17	3.046228695	-12.3037776	2.93574327
18	2.988173714	-11.80152323	2.876092264
19	2.931734347	-11.3225105	2.818065739
20	2.875910274	-10.85770471	2.760597265
21	2.82404798	-10.4338926	2.707138309
22	2.770740626	-10.00630926	2.652043943
23	2.719074531	-9.599666237	2.598957016
24	2.668074896	-9.205775242	2.546398667
25	2.618708363	-8.831600817	2.495765335
26	2.569828879	-8.468002789	2.445606649
27	2.52257341	-8.122998295	2.397131384
28	2.477069083	-7.7968301	2.350327768
29	2.432388965	-7.482346626	2.304192522
30	2.389109578	-7.183180024	2.259700837
31	2.345612405	-6.88791943	2.214564664
32	2.30324072	-6.60551499	2.170992915
33	2.261445908	-6.331998626	2.127896581
34	2.220653987	-6.069875312	2.085800054
35	2.180914113	-5.81910052	2.044639252
36	2.142057325	-5.578276813	2.004382078
37	2.105192371	-5.353800018	1.966414929
38	2.068797595	-5.136008774	1.928985039
39	2.032298854	-4.921409705	1.891330115
40	1.997530202	-4.720535374	1.855635351
41	1.963104157	-4.525055589	1.820362891
42	1.929137255	-4.335513493	1.785428853
43	1.896167581	-4.154700069	1.751368303
44	1.863856978	-3.980525114	1.718134194
45	1.832747046	-3.815651194	1.686204724
46	1.801974388	-3.655294866	1.65462325
47	1.772763341	-3.505588156	1.624738325
48	1.744301108	-3.362072503	1.595501848
49	1.715911512	-3.22123706	1.566329328
50	1.688161764	-3.085809232	1.537957317
51	1.66128559	-2.95674956	1.510350633
