iter	RMSE	R2	MAE
0	4.229957231	-24.67548059	4.147271984
1	4.149941434	-23.71328994	4.065834225
2	4.068596324	-22.75394977	3.983109395
3	3.988227396	-21.8247723	3.901268907
4	3.914419102	-20.98777444	3.826403151
5	3.837600802	-20.13324663	3.747787688
6	3.762204441	-19.31100497	3.670546968
7	3.691358163	-18.55325214	3.598338628
8	3.620103211	-17.80565802	3.52525049
9	3.550926174	-17.09380541	3.454396328
10	3.483308304	-16.41127036	3.385514816
11	3.415957108	-15.74447159	3.316520884
12	3.35006931	-15.10475839	3.249081041
13	3.285194979	-14.48705817	3.182188852
14	3.221793474	-13.89505201	3.117051126
15	3.159629454	-13.32580173	3.053216325
16	3.1000404	-12.79054203	2.992088523
17	3.041293598	-12.27282366	2.931816307
18	2.984022409	-11.77764416	2.872995211
19	2.927521854	-11.29835204	2.814904313
20	2.872189153	-10.8378465	2.758128505
21	2.818068561	-10.39592911	2.702389362
22	2.764838324	-9.969481762	2.64738066
23	2.712524906	-9.558302439	2.593498622
24	2.663927135	-9.183365045	2.543492425
25	2.614775876	-8.811051788	2.492747234
26	2.56617948	-8.449757957	2.442412346
27	2.519476741	-8.108929395	2.394139626
28	2.472903254	-7.775277946	2.345783106
29	2.427373723	-7.45512284	2.298493215
30	2.383652736	-7.153284548	2.25309099
31	2.340322504	-6.859556609	2.208115188
32	2.298046226	-6.578166619	2.164432704
33	2.256396624	-6.305963726	2.121436255
34	2.215803941	-6.045458966	2.079630628
35	2.175985107	-5.794515071	2.038584056
36	2.137270256	-5.554891577	1.998662662
37	2.099259343	-5.323810079	1.959463525
38	2.062640622	-5.105113779	1.92151215
39	2.027552153	-4.899167084	1.885411979
40	1.992565747	-4.697337534	1.849622552
41	1.958651344	-4.50504532	1.814601354
42	1.924881615	-4.316853306	1.779961975
43	1.891692584	-4.13508636	1.745916811
44	1.860214517	-3.965610923	1.713636102
45	1.828920596	-3.799945766	1.681279526
46	1.798391692	-3.641038853	1.649713157
47	1.768444453	-3.48775847	1.618938346
48	1.741213332	-3.350614438	1.590971275
49	1.712909616	-3.210324059	1.56188782
50	1.685235424	-3.07537698	1.533428401
51	1.658240551	-2.945860176	1.505779907
52	1.631957129	-2.821766249	1.478715675
53	1.606653746	-2.704172566	1.452625328
54	1.581511194	-2.589146369	1.426825039
55	1.556894942	-2.478285646	1.401707688
56	1.53316629	-2.373068434	1.377433861
57	1.510334704	-2.273354429	1.354342248
58	1.487522753	-2.175220311	1.331282861
59	1.465585156	-2.082256268	1.309056861
60	1.44422874	-1.993081865	1.287837586
61	1.423359591	-1.907206584	1.26718893
62	1.402877679	-1.824140115	1.247061817
63	1.383510016	-1.746700107	1.228056372
64	1.364471169	-1.671624123	1.209383597
65	1.345950496	-1.599589672	1.19122234
66	1.327716284	-1.529631104	1.173271557
67	1.310005015	-1.462592459	1.15598645
68	1.292997448	-1.399064722	1.139658527
69	1.276645005	-1.33876685	1.123983636
70	1.259940719	-1.277963979	1.108130779
71	1.244005118	-1.220705476	1.092982392
72	1.228436704	-1.165470129	1.078193399
73	1.213217096	-1.112144721	1.063732094
74	1.198654724	-1.061744437	1.049857312
75	1.18423945	-1.012452683	1.036319778
76	1.170562539	-0.9662370348	1.023438471
77	1.157018431	-0.920999199	1.010702108
78	1.143859708	-0.8775527775	0.9983916805
79	1.131026659	-0.8356602876	0.9864173267
