iter	Passed	Remaining
0	50	84575
1	102	86149
2	131	73999
3	151	63649
4	203	68472
5	221	62266
6	227	54701
7	374	78631
8	646	120594
9	710	119317
10	764	116596
11	801	112038
12	861	111013
13	909	108847
14	947	105778
15	969	101351
16	1014	99779
17	1071	99478
18	1123	98708
19	1170	97653
20	1219	96881
21	1266	95945
22	1281	92854
23	1290	89497
24	1342	89383
25	1410	90210
26	1433	88212
27	1482	87944
28	1493	85512
29	1498	82853
30	1553	83101
31	1578	81744
32	1613	80965
33	1633	79499
34	1667	78810
35	1795	82444
36	2091	93377
37	2124	92282
38	2174	92010
39	2283	94117
40	2338	94010
41	2398	94037
42	2429	92992
43	2442	91304
44	2487	90873
45	2494	89106
46	2499	87313
47	2522	86243
48	2584	86495
49	2607	85489
50	2616	84031
51	2647	83351
52	2660	82135
53	2695	81621
54	2722	80888
55	2737	79818
56	2746	78647
57	2794	78583
58	2810	77640
59	2820	76580
60	2867	76519
61	2904	76221
62	2931	75654
63	2988	75886
64	3040	75958
65	3088	75960
66	3106	75211
67	3209	76504
68	3507	82342
69	3569	82553
70	3607	82199
71	3669	82412
72	3716	82266
73	3725	81298
74	3730	80282
75	3779	80220
76	3834	80269
77	3854	79615
78	3910	79702
79	3939	79238
80	3993	79280
81	4057	79522
82	4078	78924
83	4116	78651
84	4156	78428
85	4169	77711
86	4199	77333
87	4249	77315
88	4315	77576
89	4359	77444
90	4377	76874
91	4394	76282
92	4402	75553
93	4411	74853
94	4422	74201
95	4475	74272
96	4492	73728
97	4615	74932
98	4909	78849
99	4935	78430
100	5000	78626
101	5067	78843
102	5128	78964
103	5211	79432
104	5227	78860
105	5239	78247
106	5286	78167
107	5298	77565
108	5303	76872
109	5318	76340
110	5363	76249
111	5414	76241
112	5456	76104
113	5506	76074
114	5557	76060
115	5611	76087
116	5619	75496
117	5669	75479
118	5723	75513
119	5750	75183
120	5797	75123
121	5810	74633
122	5857	74572
123	5888	74315
124	5901	73835
125	5909	73305
126	5933	72976
127	6295	76777
128	6329	76536
129	6388	76610
130	6556	77975
131	6671	78696
132	6768	79181
133	6777	78652
134	6808	78371
135	6872	78472
136	6930	78515
137	6958	78204
138	7015	78232
139	7038	77878
140	7090	77842
141	7101	77367
142	7148	77286
143	7156	76787
144	7204	76712
145	7258	76715
146	7307	76652
147	7347	76508
148	7423	76729
149	7443	76368
150	7726	78693
151	7789	78765
152	7851	78819
153	7889	78639
154	7951	78694
155	8003	78648
156	8015	78218
157	8034	77851
158	8078	77738
159	8127	77671
160	8139	77248
161	8151	76831
162	8158	76384
163	8206	76306
164	8260	76299
165	8310	76248
166	8361	76200
167	8375	75825
168	8426	75785
169	8476	75740
170	8495	75420
171	8544	75362
172	8604	75403
173	8657	75379
174	8707	75334
175	8861	76175
176	9147	78137
177	9206	78149
178	9268	78183
179	9322	78156
180	9355	77948
181	9369	77578
182	9416	77490
183	9460	77382
184	9510	77318
185	9558	77239
186	9610	77194
187	9620	76808
188	9672	76768
189	9688	76440
190	9693	76026
191	9738	75929
192	9788	75870
193	9825	75717
194	9875	75663
195	9883	75287
196	9912	75075
197	9962	75023
198	9977	74706
199	10030	74676
200	10052	74418
201	10068	74116
202	10117	74061
203	10153	73911
204	10395	75254
205	10550	75952
206	10604	75925
207	10693	76138
208	10736	76029
209	10788	75984
210	10815	75761
211	10869	75725
212	10919	75670
213	10934	75364
214	10983	75302
215	11036	75264
216	11095	75267
217	11147	75221
218	11165	74948
219	11215	74887
220	11273	74882
221	11323	74825
222	11336	74525
223	11389	74489
224	11451	74510
225	11513	74534
226	11891	76588
227	11960	76639
228	12026	76675
229	12063	76523
230	12132	76576
231	12185	76529
232	12239	76486
233	12292	76436
234	12343	76369
235	12393	76305
236	12443	76238
237	12498	76199
238	12507	75881
239	12557	75815
240	12610	75765
241	12662	75711
242	12717	75674
243	12771	75635
244	12820	75563
245	12879	75551
246	13019	76011
247	13305	77313
248	13367	77306
249	13380	77017
250	13435	76973
251	13471	76820
252	13520	76739
253	13571	76676
254	13624	76617
255	13672	76536
256	13684	76248
257	13728	76147
258	13775	76060
259	13825	75988
260	13874	75909
261	13926	75853
262	13976	75783
263	14027	75716
264	14075	75637
265	14129	75586
266	14180	75523
267	14232	75464
268	14279	75379
269	14410	75734
270	14689	76863
271	14751	76849
272	14811	76823
273	14905	76975
274	14966	76953
275	14990	76745
276	15039	76663
277	15091	76599
278	15119	76409
279	15167	76324
280	15217	76250
281	15273	76204
282	15278	75905
283	15341	75896
284	15402	75878
285	15457	75826
286	15518	75810
287	15577	75780
288	15635	75743
289	15687	75678
290	15831	76058
291	16138	77210
292	16206	77216
293	16274	77220
294	16335	77192
295	16397	77165
296	16445	77075
297	16502	77028
298	16556	76969
299	16611	76911
300	16666	76856
301	16722	76801
302	16775	76733
303	16834	76694
304	16887	76630
305	16943	76579
306	16997	76516
307	17054	76469
308	17109	76412
309	17260	76779
310	17543	77734
311	17609	77720
312	17627	77493
313	17679	77420
314	17749	77419
315	17819	77424
316	17871	77349
317	17931	77306
318	17991	77265
319	18013	77065
320	18064	76986
321	18120	76929
322	18169	76839
323	18220	76763
324	18271	76685
325	18319	76594
326	18384	76575
327	18458	76593
328	18516	76543
329	18581	76520
330	18935	77688
331	19012	77710
332	19107	77806
