iter	RMSE	R2	MAE
0	4.231319121	-24.72564456	4.148441226
1	4.153357848	-23.78639725	4.069459257
2	4.071388079	-22.81769366	3.985772994
3	3.991464763	-21.89176627	3.904446426
4	3.916388669	-21.03871529	3.827992515
5	3.840023926	-20.18763899	3.75017971
6	3.764715218	-19.36474437	3.673035675
7	3.693364938	-18.60013884	3.600212917
8	3.621456831	-17.84435726	3.526615991
9	3.554114729	-17.15004013	3.457620385
10	3.485591618	-16.4569235	3.387493223
11	3.41847728	-15.79113678	3.318811892
12	3.352307088	-15.1473885	3.250945119
13	3.289046231	-14.5437091	3.186149943
14	3.226176894	-13.95515976	3.121685373
15	3.16598895	-13.4023544	3.059897277
16	3.104851335	-12.85148463	2.997130161
17	3.046576847	-12.33641122	2.937103197
18	2.988064095	-11.82905071	2.876895539
19	2.931063542	-11.34426314	2.818018841
20	2.875398249	-10.87984329	2.760547485
21	2.822531168	-10.44701354	2.705995491
22	2.770141453	-10.02601544	2.652165839
23	2.717930102	-9.614297868	2.598620515
24	2.66837942	-9.230806449	2.547657888
25	2.618458942	-8.851587992	2.495990279
26	2.571375573	-8.500484015	2.447562302
27	2.523401329	-8.149289266	2.398070961
28	2.477919981	-7.822451083	2.351201308
29	2.43236842	-7.501066553	2.303941055
30	2.387819008	-7.192520068	2.257696272
31	2.344802559	-6.900003114	2.213529596
32	2.302195193	-6.61550994	2.169391637
33	2.261478975	-6.348518854	2.127388645
34	2.221528659	-6.091180567	2.086133909
35	2.181652651	-5.838894684	2.045086208
36	2.142605958	-5.596283612	2.004764372
37	2.105683233	-5.370899901	1.966768257
38	2.068354079	-5.147017902	1.928185941
39	2.032708364	-4.936969968	1.891551638
40	1.997253691	-4.731669876	1.854983603
41	1.962662686	-4.534852292	1.819487363
42	1.929115938	-4.347260748	1.784842749
43	1.896165921	-4.166154351	1.750775093
44	1.863959998	-3.992152913	1.717585388
45	1.833320752	-3.829382594	1.686023583
46	1.802854105	-3.670204199	1.654700687
47	1.772934672	-3.516480823	1.623757465
48	1.743525846	-3.367887892	1.593460098
49	1.715306583	-3.227642083	1.564441693
50	1.687574126	-3.092045181	1.535865441
51	1.661117068	-2.964744314	1.508738102
52	1.634759698	-2.839923292	1.481576412
53	1.608798396	-2.718929566	1.45485928
54	1.583724713	-2.603911278	1.429036462
55	1.55932817	-2.493733331	1.404201439
56	1.535498532	-2.387766858	1.379844622
57	1.512065125	-2.285153727	1.356154455
58	1.48942268	-2.187503196	1.333427059
59	1.46739112	-2.093901458	1.311103572
60	1.445787987	-2.003474351	1.289405282
61	1.424733071	-1.916632525	1.268520941
62	1.40417458	-1.833067469	1.24826664
63	1.384177901	-1.752951284	1.228611675
64	1.364926073	-1.676905027	1.209676607
65	1.345979882	-1.603105926	1.19121281
66	1.327561238	-1.532350588	1.173310149
67	1.310052173	-1.465993272	1.156361453
68	1.292662018	-1.400958649	1.139638315
69	1.275792682	-1.338702162	1.123559189
70	1.26029643	-1.282233711	1.108826146
71	1.244520445	-1.225454786	1.093870795
72	1.228980391	-1.170224245	1.079186103
73	1.213775146	-1.11685536	1.064812602
74	1.199895624	-1.068719665	1.051812218
75	1.185694352	-1.0200411	1.038386028
76	1.171721586	-0.9727114511	1.025300581
77	1.158212584	-0.9274861344	1.01275941
78	1.145225271	-0.8845017678	1.000615066
79	1.132679964	-0.8434405676	0.9889700581
80	1.120156654	-0.8029024544	0.9774423061
81	1.108049753	-0.7641407281	0.9662100938
82	1.09620583	-0.7266285524	0.9551913954
83	1.084651585	-0.6904223029	0.9444832518
84	1.073525265	-0.6559195889	0.9341903566
85	1.063007149	-0.6236300273	0.9243970133
86	1.052815301	-0.5926453568	0.9148912074
87	1.043105966	-0.563405236	0.9058128189
88	1.033359439	-0.5343255795	0.8966636339
89	1.023892782	-0.5063422815	0.8878707506
90	1.014736888	-0.4795225896	0.8793157184
91	1.005987333	-0.4541182603	0.8710807879
92	0.9973416488	-0.4292316161	0.8629248891
93	0.9888825162	-0.4050898633	0.854914375
94	0.9808164289	-0.3822613582	0.8472594174
95	0.9729108086	-0.3600684312	0.8397007814
96	0.9653188424	-0.3389250615	0.8324076908
97	0.9579810417	-0.3186469447	0.8253140411
98	0.9509182205	-0.2992748792	0.8184402867
99	0.9442987816	-0.2812490679	0.8120506375
100	0.9378553911	-0.2638236038	0.8057854779
101	0.9314094113	-0.2465105184	0.7994291229
102	0.925135572	-0.2297744449	0.7933301013
103	0.9193211698	-0.2143649555	0.7877145888
104	0.9135889244	-0.1992683037	0.7822090386
105	0.9079508097	-0.1845116713	0.7768315234
106	0.9026857534	-0.1708139283	0.7718385846
107	0.8974805908	-0.1573503148	0.7669103542
108	0.892416276	-0.1443257443	0.7621287132
109	0.8875746162	-0.1319427192	0.7575800103
110	0.8826202939	-0.1193412829	0.7529397296
111	0.8780230946	-0.1077112904	0.7486616103
112	0.8736344824	-0.09666564444	0.7445843103
113	0.8693927254	-0.08604221691	0.7406212515
114	0.8651184388	-0.0753896213	0.7365740932
115	0.8610380961	-0.06526936476	0.7327267132
116	0.8571035363	-0.05555599734	0.7290558337
117	0.8533691647	-0.04637799041	0.7254959365
118	0.849673836	-0.03733538906	0.7219479185
119	0.8463822119	-0.02931371266	0.7188486451
120	0.8430036499	-0.02111254947	0.7156479322
121	0.8397468807	-0.01323807775	0.7126083629
122	0.8364984495	-0.005414129679	0.70948445
123	0.8334767179	0.001836581348	0.7065929666
124	0.8304311556	0.00911792411	0.7037658518
125	0.8275820465	0.01590545401	0.7010336515
