iter	RMSE	R2	MAE
0	4.230747402	-24.48264484	4.147102302
1	4.154909733	-23.57726173	4.070120096
2	4.072932527	-22.61700054	3.98640776
3	3.992978643	-21.69887238	3.905044699
4	3.91791493	-20.85346527	3.828588723
5	3.841552609	-20.00989484	3.75077864
6	3.766259681	-19.19439424	3.673621104
7	3.692306592	-18.40911887	3.598126003
8	3.620226175	-17.65871437	3.524280304
9	3.554343117	-16.98576888	3.457123729
10	3.485190791	-16.29272456	3.386285291
11	3.418707882	-15.639271	3.318229136
12	3.352399958	-15.0000729	3.2498823
13	3.290332434	-14.41309537	3.186317021
14	3.226957356	-13.82507029	3.121403404
15	3.167607533	-13.28476311	3.060628993
16	3.106891002	-12.74239233	2.997961818
17	3.048888554	-12.23406942	2.938286128
18	2.992151322	-11.74610275	2.880107357
19	2.936295399	-11.27466923	2.822630358
20	2.880799059	-10.81506844	2.765405576
21	2.829034992	-10.39428156	2.7124125
22	2.777734728	-9.984792196	2.659552012
23	2.726006032	-9.579470542	2.606244345
24	2.674964823	-9.187003581	2.553547775
25	2.625803384	-8.816003759	2.502952938
26	2.578621555	-8.466414698	2.454481653
27	2.53249184	-8.13074928	2.406917597
28	2.485461117	-7.794765319	2.35842779
29	2.439435159	-7.472056946	2.310854189
30	2.39532173	-7.168419197	2.265368817
31	2.351408682	-6.871663912	2.220006963
32	2.309641344	-6.594503709	2.177082415
33	2.267829797	-6.322025262	2.133768258
34	2.227055971	-6.061103422	2.091526362
35	2.187160639	-5.810385123	2.050198563
36	2.148070956	-5.569125434	2.009934168
37	2.111108869	-5.344999159	1.971859156
38	2.073840892	-5.122956523	1.933427899
39	2.038087772	-4.913656235	1.896574559
40	2.004093005	-4.718025041	1.861629096
41	1.969453519	-4.522068372	1.825821635
42	1.935839481	-4.335178995	1.7912343
43	1.902836289	-4.154815893	1.757360919
44	1.872120023	-3.989737341	1.725807872
45	1.841339587	-3.827008782	1.694194454
46	1.810555342	-3.666958259	1.662610974
47	1.78092035	-3.515431947	1.632158091
48	1.751649886	-3.368224183	1.60206263
49	1.723019931	-3.226597684	1.572528048
50	1.695970925	-3.094935954	1.544852814
51	1.669008075	-2.965766905	1.517067607
52	1.642430602	-2.840469896	1.48963037
53	1.616700597	-2.721084274	1.46325062
54	1.591845216	-2.607546864	1.437935861
55	1.567992387	-2.500243101	1.413724931
56	1.543989867	-2.393901236	1.389313463
57	1.52085726	-2.29296579	1.365997913
58	1.498048409	-2.194934831	1.342872215
59	1.475625163	-2.100005137	1.320276111
60	1.454240596	-2.010806443	1.298794741
61	1.433015042	-1.923558625	1.277536923
62	1.412413003	-1.840100594	1.257019137
63	1.392640586	-1.761139852	1.237517734
64	1.372962231	-1.683659978	1.218068992
65	1.353952442	-1.6098595	1.199329353
66	1.335259815	-1.538293669	1.181027279
67	1.317324684	-1.470563197	1.163474533
68	1.299860618	-1.405491801	1.146593226
69	1.282897554	-1.343118551	1.13027404
70	1.26642942	-1.283348968	1.114528442
71	1.250417331	-1.225974975	1.099300904
72	1.234489635	-1.169627638	1.084323136
73	1.219389459	-1.11687484	1.070169119
74	1.20468584	-1.066131315	1.056260775
75	1.190352605	-1.017258537	1.042770136
76	1.176283057	-0.9698537864	1.029628073
77	1.162643284	-0.9244351589	1.016719882
78	1.149570559	-0.8814018819	1.004409832
79	1.136889894	-0.8401241302	0.9925308703
80	1.124601676	-0.8005606786	0.9810736537
81	1.112409381	-0.7617309905	0.9697743588
82	1.100928326	-0.7255533869	0.9591773051
83	1.090009865	-0.6914967426	0.9490354252
84	1.079221531	-0.6581793826	0.9390145239
85	1.068472815	-0.6253139476	0.9290128085
86	1.058153798	-0.5940718711	0.9194097695
87	1.04836197	-0.5647062781	0.9103128996
88	1.038477902	-0.5353409294	0.9011198149
89	1.029240133	-0.5081472028	0.8925391923
90	1.019977158	-0.4811232533	0.8839392459
91	1.010849332	-0.4547325806	0.875435389
92	1.002380141	-0.4304583472	0.8675155228
93	0.9939904723	-0.4066134043	0.8596367201
94	0.9857568194	-0.383406745	0.8519106781
95	0.9778045345	-0.3611763739	0.8444674473
96	0.9700636167	-0.3397098205	0.8370878682
97	0.9626541038	-0.3193221128	0.8299441023
98	0.9556606168	-0.3002225276	0.8232469826
99	0.9486677064	-0.2812637602	0.8164535577
