iter	Passed	Remaining
0	44	74313
1	93	78522
2	111	62458
3	141	59585
4	188	63550
5	220	61809
6	234	56426
7	248	52318
8	267	49915
9	311	52382
10	335	51215
11	371	51875
12	380	49091
13	423	50695
14	449	50124
15	497	52011
16	515	50653
17	563	52286
18	615	54101
19	662	55278
20	684	54346
21	734	55656
22	796	57699
23	834	57907
24	989	65874
25	1048	67035
26	1106	68121
27	1178	69906
28	1196	68498
29	1205	66650
30	1248	66791
31	1266	65586
32	1314	65967
33	1321	64334
34	1336	63170
35	1341	61597
36	1363	60873
37	1408	61198
38	1431	60562
39	1475	60830
40	1522	61183
41	1539	60367
42	1582	60564
43	1612	60290
44	1656	60533
45	1706	60960
46	1733	60547
47	1766	60408
48	1801	60298
49	1808	59278
50	1854	59568
51	1898	59772
52	1909	58931
53	1967	59565
54	2047	60827
55	2311	67400
56	2334	66842
57	2398	67438
58	2413	66685
59	2426	65882
60	2477	66119
61	2513	65965
62	2564	66184
63	2616	66444
64	2637	65884
65	2672	65708
66	2692	65191
67	2704	64480
68	2754	64667
69	2761	63873
70	2773	63201
71	2781	62471
72	2807	62139
73	2856	62350
74	2864	61647
75	2912	61817
76	2966	62108
77	2981	61575
78	2986	60855
79	2990	60147
80	3001	59594
81	3054	59852
82	3122	60423
83	3280	62683
84	3523	66483
85	3644	67930
86	3717	68448
87	3797	69095
88	3872	69613
89	3930	69833
90	3979	69874
91	4033	70021
92	4088	70156
93	4124	69977
94	4145	69559
95	4161	69063
96	4225	69358
97	4249	68990
98	4261	68435
99	4286	68107
100	4334	68153
101	4383	68203
102	4404	67827
103	4438	67650
104	4463	67335
105	4508	67324
106	4515	66769
107	4567	66870
108	4579	66377
109	4639	66600
110	4689	66667
111	4921	69295
112	4954	69094
113	4960	68527
114	5013	68619
115	5038	68329
116	5044	67772
117	5048	67218
118	5082	67050
119	5132	67104
120	5139	66602
121	5188	66638
122	5215	66395
123	5228	65989
124	5273	65987
125	5281	65511
126	5325	65494
127	5351	65258
128	5395	65247
129	5406	64831
130	5413	64387
131	5418	63912
132	5434	63577
133	5479	63587
134	5501	63326
135	5527	63122
136	5542	62793
137	5592	62860
138	5639	62889
139	5647	62482
140	5693	62508
141	5747	62616
142	5795	62656
143	5813	62377
144	5858	62387
145	5872	62064
146	5919	62090
147	6102	63539
148	6165	63721
149	6187	63485
150	6195	63101
151	6241	63114
152	6290	63148
153	6308	62878
154	6353	62875
155	6457	63458
156	6485	63283
157	6535	63332
158	6587	63390
159	6602	63096
160	6653	63149
161	6703	63188
162	6754	63237
163	6787	63110
164	6837	63157
165	6866	63001
166	6919	63058
167	6940	62832
168	6955	62560
169	7001	62560
170	7054	62626
171	7105	62669
172	7129	62477
173	7454	64903
174	7553	65352
175	7610	65426
176	7665	65483
177	7723	65564
178	7778	65614
179	7831	65652
180	7886	65704
181	7912	65518
182	7918	65162
183	7965	65149
184	8023	65226
185	8049	65048
186	8097	65037
187	8148	65056
188	8197	65059
189	8248	65074
190	8267	64837
191	8324	64902
192	8339	64643
193	8386	64628
194	8439	64660
195	8673	66071
196	8787	66555
197	8793	66217
198	8846	66240
199	8895	66225
200	8945	66225
201	8995	66219
202	9047	66230
203	9099	66241
204	9151	66247
205	9197	66214
206	9247	66209
207	9264	65965
208	9311	65936
209	9333	65735
210	9380	65707
211	9426	65673
212	9474	65654
213	9511	65556
214	9562	65556
215	9611	65546
216	9661	65540
217	9730	65658
218	9847	66098
219	10121	67580
220	10279	68285
221	10337	68312
222	10409	68432
223	10515	68775
224	10638	69220
225	10728	69452
226	10817	69669
227	10863	69612
228	10949	69811
229	11054	70126
230	11132	70264
231	11386	71510
232	11516	71964
233	11549	71817
234	11617	71881
235	11701	72046
236	11773	72129
237	11851	72253
238	11940	72444
239	12023	72593
240	12097	72682
241	12123	72490
242	12140	72240
243	12248	72536
244	12335	72706
245	12436	72948
246	12554	73296
247	12768	74192
248	12829	74194
249	12883	74155
250	12897	73888
251	12950	73848
252	12963	73578
253	13013	73520
254	13061	73454
255	13111	73395
256	13173	73403
257	13226	73361
258	13275	73299
259	13327	73248
260	13376	73186
261	13426	73126
262	13444	72898
263	13492	72828
264	13546	72792
265	13597	72739
266	13645	72674
267	13694	72611
268	13749	72581
269	14003	73596
270	14061	73577
271	14075	73328
272	14123	73253
273	14175	73207
274	14223	73135
275	14273	73073
276	14319	72991
277	14336	72765
278	14380	72674
279	14428	72607
280	14478	72545
281	14488	72288
282	14531	72194
283	14577	72119
284	14626	72054
285	14672	71974
286	14723	71923
287	14771	71855
288	14817	71782
289	14868	71728
290	14914	71653
291	14973	71638
292	15113	72007
293	15230	72267
294	15292	72265
295	15350	72239
296	15402	72191
297	15421	71984
298	15476	71948
299	15490	71719
300	15541	71668
301	15595	71626
302	15650	71589
303	15704	71549
304	15752	71478
305	15802	71422
306	15856	71379
307	15908	71332
308	15962	71287
309	16017	71249
310	16076	71232
311	16126	71174
312	16179	71129
313	16308	71415
314	16516	72043
315	16582	72050
316	16644	72040
317	16704	72016
318	16723	71822
319	16774	71762
320	16847	71797
321	16910	71791
322	16967	71755
323	17020	71705
324	17034	71493
325	17126	71604
326	17175	71537
327	17223	71467
328	17272	71399
329	17323	71340
330	17375	71286
331	17424	71220
332	17471	71146
333	17661	71650
334	17717	71611
335	17779	71594
336	17857	71643
337	17884	71486
338	17959	71520
339	18011	71463
340	18092	71520
341	18140	71448
342	18189	71378
343	18246	71340
344	18300	71294
345	18357	71256
346	18416	71225
347	18469	71171
348	18523	71122
349	18576	71068
350	18639	71054
351	18767	71286
352	18968	71791
353	19032	71775
354	19087	71727
355	19161	71746
356	19211	71680
357	19272	71652
358	19288	71460
359	19346	71419
360	19400	71366
361	19455	71317
362	19509	71266
363	19603	71359
364	19673	71365
365	19727	71311
366	19784	71268
367	19808	71105
368	19857	71036
369	19909	70975
370	19988	71008
371	20302	71876
372	20370	71870
373	20425	71815
374	20550	72009
375	20620	72005
376	20675	71953
377	20729	71896
378	20822	71972
379	20873	71903
380	20926	71841
381	20976	71770
382	20989	71573
383	21034	71483
384	21085	71418
385	21140	71363
386	21187	71283
387	21201	71090
388	21242	70989
389	21295	70929
390	21476	71296
391	21537	71262
392	21595	71217
393	21643	71136
394	21695	71072
395	21746	71006
396	21800	70946
397	21852	70883
