iter	RMSE	R2	MAE
0	4.228669044	-24.44399227	4.14492565
1	4.152798408	-23.53915256	4.067895818
2	4.070868785	-22.58044899	3.984233412
3	3.990975577	-21.66397081	3.902927603
4	3.916250396	-20.82321671	3.826821704
5	3.840003902	-19.98172513	3.749113991
6	3.764733121	-19.16723001	3.671979568
7	3.693470503	-18.41096524	3.599238942
8	3.621648628	-17.66338811	3.525722916
9	3.553977727	-16.97244922	3.45639775
10	3.485178548	-16.28335005	3.38598908
11	3.418106768	-15.62451983	3.317338998
12	3.352028352	-14.98796646	3.249544798
13	3.290185832	-14.40347534	3.186199143
14	3.22740107	-13.82121268	3.121784512
15	3.167154662	-13.27303746	3.059917194
16	3.106031235	-12.72743827	2.997135324
17	3.04685427	-12.20934329	2.936330866
18	2.988367432	-11.70708255	2.876137952
19	2.931399525	-11.22722455	2.817286981
20	2.875764772	-10.76751012	2.759840109
21	2.82294941	-10.33924274	2.705358023
22	2.770230667	-9.919675361	2.651161952
23	2.718257967	-9.513787647	2.597845462
24	2.6687401	-9.134222254	2.546895732
25	2.618630928	-8.757227872	2.495225021
26	2.569982044	-8.398056245	2.444886523
27	2.522168783	-8.051616681	2.395542987
28	2.477631148	-7.734763815	2.349700752
29	2.431854782	-7.414980947	2.302505138
30	2.387230372	-7.108985506	2.256362062
31	2.344863574	-6.823715008	2.212717325
32	2.302105861	-6.540991357	2.168631899
33	2.261024548	-6.274253255	2.126251746
34	2.22009578	-6.01328172	2.08418426
35	2.180168949	-5.763292367	2.043036819
36	2.141399381	-5.524890196	2.003218621
37	2.104159091	-5.299919606	1.964828628
38	2.068255317	-5.086759758	1.92785002
39	2.032445526	-4.877811991	1.89077478
40	1.997364646	-4.676656023	1.854703535
41	1.962601251	-4.48077539	1.81898274
42	1.92988602	-4.299576703	1.785378536
43	1.897503288	-4.123219177	1.751984265
44	1.867154667	-3.960648452	1.720827243
45	1.836219806	-3.797634921	1.6891119
46	1.805634782	-3.63914221	1.657667724
47	1.775983616	-3.48803021	1.627130468
48	1.746670173	-3.341098798	1.596916754
49	1.717954408	-3.199534272	1.567440046
50	1.690132616	-3.064615114	1.538902474
51	1.662993879	-2.935130717	1.510922704
52	1.638429827	-2.819737804	1.485817368
53	1.612366186	-2.699177963	1.459089909
54	1.587675013	-2.586749792	1.43387978
55	1.562919758	-2.475771555	1.408667609
56	1.539920293	-2.374227386	1.385381464
57	1.516552082	-2.272596947	1.361636678
58	1.493646066	-2.174484865	1.338482912
59	1.471294873	-2.080188572	1.315840388
60	1.45008275	-1.992012714	1.294535533
61	1.42910698	-1.906078509	1.273571879
62	1.408622616	-1.823365967	1.253212308
63	1.388680321	-1.743989367	1.233514549
64	1.369769407	-1.669763471	1.214930977
65	1.350871414	-1.596604976	1.196331028
66	1.332208083	-1.525352401	1.178156204
67	1.314674856	-1.459317361	1.161142647
68	1.297353037	-1.394937628	1.144587913
69	1.2806426	-1.33363941	1.128591317
70	1.264169652	-1.273990166	1.112833647
71	1.248464182	-1.217839102	1.097861789
72	1.232805335	-1.162553559	1.082990557
73	1.217686068	-1.109835212	1.06869964
74	1.202679574	-1.05815336	1.054534354
75	1.18820181	-1.008899825	1.040867055
76	1.174214241	-0.9618804896	1.027603778
77	1.160796276	-0.9172991244	1.014905248
78	1.147723151	-0.8743562794	1.002622041
79	1.135226148	-0.8337605844	0.990945073
80	1.122678357	-0.7934470653	0.979308511
81	1.110565554	-0.754956112	0.9680399845
82	1.098845983	-0.7181121612	0.9571319907
83	1.087563115	-0.6830104089	0.9466824272
84	1.076532435	-0.6490434545	0.9364162608
85	1.065805709	-0.6163445609	0.9264685339
86	1.055309399	-0.584665031	0.9166103877
87	1.04539675	-0.5550349466	0.907289677
