iter	Passed	Remaining
0	56	95284
1	113	95904
2	206	115893
3	302	127604
4	393	132552
5	482	135209
6	538	129392
7	638	134071
8	682	127428
9	763	128199
10	846	129080
11	920	128623
12	965	124528
13	1146	137190
14	1321	147505
15	1432	149733
16	1461	143790
17	1542	143156
18	1555	136681
19	1561	130282
20	1575	125169
21	1633	123792
22	1746	126515
23	1824	126570
24	1897	126273
25	1922	122983
26	1945	119744
27	1978	117391
28	2037	116621
29	2069	114443
30	2095	112060
31	2146	111143
32	2207	110763
33	2395	116620
34	2443	115479
35	2465	113186
36	2520	112554
37	2575	111913
38	2632	111361
39	2664	109840
40	2721	109376
41	2733	107199
42	2780	106448
43	2835	106012
44	2894	105762
45	2945	105190
46	2979	104079
47	3022	103330
48	3047	101993
49	3093	101412
50	3138	100801
51	3150	99168
52	3211	99122
53	3233	97894
54	3286	97652
55	3314	96662
56	3365	96358
57	3374	94900
58	3383	93467
59	3405	92464
60	3521	93978
61	3588	94180
62	3632	93742
63	3640	92441
64	3694	92315
65	3704	91089
66	3717	90001
67	3772	89937
68	3835	90043
69	3888	89929
70	3896	88791
71	3951	88751
72	4006	88697
73	4059	88606
74	4077	87744
75	4093	86879
76	4127	86401
77	4175	86244
78	4184	85278
79	4234	85174
80	4263	84635
81	4275	83781
82	4289	83003
83	4339	82919
84	4450	83983
85	4554	84902
86	4732	87142
87	4754	86500
88	4856	87309
89	4935	87696
90	5021	88184
91	5036	87431
92	5050	86673
93	5089	86350
94	5124	85991
95	5152	85500
96	5196	85295
97	5306	86152
98	5351	85943
99	5404	85878
100	5463	85907
101	5499	85564
102	5515	84920
103	5573	84938
104	5669	85530
105	5707	85235
106	5739	84860
107	5931	86834
108	5944	86171
109	6037	86671
110	6050	86019
111	6095	85829
112	6103	85119
113	6153	85014
114	6178	84568
115	6230	84482
116	6283	84429
117	6330	84282
118	6376	84125
119	6434	84135
120	6458	83694
121	6510	83619
122	6523	83051
123	6576	83005
124	6633	82994
125	6691	83004
126	6747	82988
127	6815	83113
128	6843	82757
129	6868	82372
130	6927	82390
131	7030	82924
132	7095	83010
133	7147	82941
134	7201	82901
135	7262	82928
136	7317	82895
137	7340	82497
138	7392	82437
139	7412	82010
140	7420	81470
141	7471	81398
142	7529	81399
143	7591	81447
144	7648	81442
145	7661	80967
146	7710	80878
147	7719	80377
148	7738	79983
149	7744	79453
