iter	RMSE	R2	MAE
0	4.232246007	-24.77133984	4.149822629
1	4.152587029	-23.81033773	4.068951677
2	4.07117468	-22.84705008	3.986163382
3	3.990746923	-21.91414014	3.904260516
4	3.916920517	-21.0741865	3.829366222
5	3.840033025	-20.21607826	3.750690313
6	3.764567447	-19.39038166	3.673389772
7	3.693735297	-18.63029061	3.601194509
8	3.622376027	-17.87914196	3.528003463
9	3.553033314	-17.16325788	3.456961436
10	3.485457434	-16.47892651	3.388113843
11	3.418057617	-15.80946721	3.319086527
12	3.35206578	-15.16665814	3.251545927
13	3.287131534	-14.54638273	3.184594926
14	3.223660552	-13.95181103	3.119381503
15	3.161449575	-13.38029212	3.055474092
16	3.101724037	-12.84208467	2.994215759
17	3.042484244	-12.31839422	2.933328785
18	2.984344996	-11.81425152	2.873277643
19	2.928578367	-11.33982185	2.81573273
20	2.876772207	-10.90710377	2.762614474
21	2.82347545	-10.46999482	2.707834679
22	2.77009065	-10.04035791	2.652683003
23	2.719084854	-9.637527881	2.600400629
24	2.668585042	-9.246069197	2.548152292
25	2.618395871	-8.86428939	2.496506903
26	2.571264974	-8.512372694	2.447984476
27	2.523481738	-8.162110434	2.398694901
28	2.476784397	-7.826155935	2.350266628
29	2.431743592	-7.508064042	2.303900905
30	2.386924238	-7.197330758	2.257565265
31	2.34394449	-6.904780858	2.213139056
32	2.301697957	-6.622402088	2.169673671
33	2.259793272	-6.347381871	2.126477869
34	2.22006039	-6.091282163	2.085572621
35	2.18028033	-5.839429282	2.044354234
36	2.142302083	-5.60323282	2.005299457
37	2.104553441	-5.372577216	1.966183156
38	2.068253206	-5.154639251	1.928811936
39	2.032005687	-4.940801315	1.891270196
40	1.996610695	-4.735641206	1.854717554
41	1.962312202	-4.540275978	1.819635029
42	1.928610496	-4.351607355	1.784891111
43	1.895846571	-4.171321811	1.751272408
44	1.864599762	-4.002262048	1.719163014
45	1.833739047	-3.83804892	1.687480313
46	1.804639212	-3.685716071	1.657749181
47	1.775059146	-3.533366666	1.627453129
48	1.747340802	-3.392890992	1.599119441
