iter	Passed	Remaining
0	48	81743
1	101	85882
2	131	74018
3	150	63401
4	202	68267
5	221	62144
6	226	54376
7	276	58078
8	308	57616
9	357	60042
10	406	62080
11	437	61195
12	503	64872
13	514	61584
14	545	60831
15	568	59454
16	874	86022
17	915	84971
18	939	82569
19	1042	86984
20	1109	88148
21	1164	88238
22	1174	85049
23	1222	84780
24	1256	83656
25	1276	81640
26	1321	81361
27	1351	80192
28	1374	78690
29	1427	78955
30	1440	77047
31	1490	77169
32	1544	77486
33	1555	75735
34	1604	75832
35	1618	74332
36	1666	74413
37	1707	74198
38	1759	74457
39	1776	73218
40	1783	71677
41	1832	71872
42	1855	71016
43	1918	71732
44	2158	78866
45	2222	79397
46	2278	79604
47	2350	80353
48	2405	80513
49	2457	80558
50	2509	80607
51	2541	80014
52	2554	78851
53	2577	78030
54	2628	78096
55	2641	77023
56	2692	77079
57	2705	76089
58	2757	76178
59	2813	76390
60	2858	76295
61	2915	76501
62	2970	76673
63	3004	76290
64	3055	76341
65	3116	76632
66	3138	75969
67	3270	77972
68	3476	81623
69	3538	81849
70	3600	82044
71	3695	82989
72	3720	82361
73	3768	82247
74	3821	82240
75	3833	81357
76	3852	80642
77	3903	80627
78	3955	80616
79	3968	79826
80	3992	79261
81	4005	78489
82	4032	78030
83	4063	77643
84	4077	76944
85	4088	76215
86	4118	75836
87	4166	75793
88	4198	75482
89	4250	75520
90	4297	75465
91	4354	75592
92	4397	75462
93	4422	75040
94	4439	74484
95	4460	74020
96	4598	75474
97	4808	78059
98	4874	78287
99	4910	78020
100	4920	77363
101	4981	77506
102	5036	77552
103	5088	77550
104	5107	77055
105	5159	77055
106	5184	76653
107	5215	76351
108	5235	75892
109	5247	75331
110	5294	75264
111	5331	75067
112	5382	75068
113	5441	75177
114	5497	75247
115	5550	75263
116	5560	74705
117	5612	74726
118	5666	74753
119	5690	74406
120	5695	73806
121	5746	73809
122	5756	73296
123	5765	72766
124	5838	73053
125	5875	72878
126	6167	75860
127	6179	75363
128	6245	75532
129	6372	76416
130	6433	76510
131	6472	76344
132	6522	76312
133	6576	76317
134	6635	76387
135	6689	76391
136	6708	75995
137	6728	75623
138	6748	75248
139	6797	75207
140	6854	75257
141	6862	74761
142	6912	74727
143	6971	74799
144	7024	74797
145	7075	74782
146	7096	74439
147	7105	73982
148	7127	73668
149	7175	73620
150	7245	73795
151	7583	76684
152	7679	77095
153	7752	77272
154	7809	77288
155	7867	77310
156	7988	77952
157	8056	78062
158	8072	77680
159	8087	77282
160	8145	77303
161	8202	77312
162	8257	77304
163	8319	77365
164	8363	77245
165	8416	77215
166	8472	77212
167	8519	77128
168	8549	76895
169	8566	76540
170	8738	77571
171	8910	78591
172	8970	78608
173	9044	78747
174	9100	78730
175	9154	78698
176	9222	78780
177	9272	78711
178	9287	78346
179	9303	77997
180	9324	77689
181	9330	77258
182	9342	76880
183	9364	76597
184	9415	76545
185	9444	76319
186	9496	76272
187	9547	76230
188	9600	76196
189	9657	76189
190	9672	75862
191	9731	75876
192	9789	75884
193	9806	75573
194	9820	75239
195	9877	75239
196	10193	77201
197	10256	77236
198	10323	77295
199	10394	77388
200	10410	77071
201	10462	77016
202	10513	76964
203	10565	76908
204	10610	76809
205	10671	76821
206	10685	76501
207	10741	76479
208	10761	76206
209	10810	76135
210	10867	76127
211	10922	76098
212	10970	76023
213	11019	75952
214	11072	75909
215	11123	75857
216	11173	75795
217	11196	75548
218	11264	75610
219	11568	77248
220	11630	77253
221	11683	77204
222	11760	77312
223	11816	77282
224	11868	77223
225	11934	77259
226	11987	77206
227	12042	77165
228	12055	76861
229	12093	76713
230	12142	76641
231	12194	76580
232	12254	76576
233	12308	76534
234	12364	76503
235	12380	76226
236	12432	76171
237	12485	76119
238	12533	76038
239	12621	76205
240	12970	77932
241	13039	77968
242	13106	77988
243	13169	77990
244	13225	77949
245	13277	77886
246	13330	77825
247	13384	77768
248	13402	77509
249	13453	77439
250	13508	77390
251	13570	77385
252	13630	77367
253	13693	77360
254	13788	77542
255	13862	77600
256	13929	77613
257	13979	77539
258	14015	77384
259	14272	78446
260	14349	78508
261	14427	78580
262	14442	78309
263	14511	78327
264	14536	78111
265	14587	78036
266	14638	77964
267	14686	77873
268	14745	77841
269	14798	77773
270	14849	77701
271	14868	77459
272	14920	77387
273	14935	77132
274	14992	77088
275	15052	77059
276	15134	77149
277	15198	77140
278	15256	77102
279	15404	77517
280	15769	79013
281	15884	79254
282	15953	79262
283	16023	79268
284	16082	79226
285	16136	79158
286	16156	78925
287	16212	78868
288	16271	78822
289	16330	78781
290	16390	78741
291	16449	78696
292	16479	78515
293	16535	78460
294	16602	78454
295	16657	78390
296	16728	78402
297	16887	78825
298	17143	79695
299	17207	79668
300	17278	79678
301	17335	79617
302	17384	79521
303	17433	79426
304	17455	79206
305	17505	79116
306	17556	79031
307	17609	78959
308	17659	78867
309	17728	78862
310	17844	79066
311	17919	79085
312	18005	79157
313	18084	79192
314	18157	79199
315	18481	80299
316	18544	80260
317	18658	80441
318	18742	80494
319	18814	80489
320	18890	80505
321	18957	80483
322	19017	80428
323	19083	80397
324	19146	80354
325	19211	80321
326	19273	80277
327	19332	80218
328	19391	80158
329	19447	80088
330	19500	80006
331	19791	80893
332	19973	81333
333	20065	81405
334	20152	81450
335	20211	81387
336	20261	81285
337	20293	81114
338	20343	81015
339	20401	80947
340	20453	80855
341	20503	80755
342	20552	80652
343	20604	80559
344	20664	80501
345	20720	80427
346	20774	80342
347	20822	80237
348	20877	80158
349	20930	80075
350	21106	80457
351	21276	80814
352	21339	80764
353	21412	80750
354	21474	80693
355	21528	80612
356	21585	80535
357	21640	80457
358	21697	80382
359	21757	80322
360	21816	80255
361	21884	80223
362	21941	80151
363	22002	80092
364	22062	80029
365	22123	79970
366	22185	79916
367	22253	79883
368	22577	80764
369	22644	80724
370	22707	80668
371	22806	80741
372	22856	80642
373	22919	80586
374	22972	80497
375	23031	80428
376	23083	80331
377	23133	80232
378	23183	80134
379	23236	80042
380	23251	79823
381	23302	79727
382	23356	79642
383	23371	79425
384	23435	79377
385	23568	79558
386	23671	79639
387	24034	80588
388	24150	80709
389	24259	80802
390	24341	80806
391	24427	80823
392	24490	80761
393	24542	80667
394	24596	80577
395	24650	80488
396	24710	80418
397	24764	80329
398	24817	80238
399	24893	80220
400	24996	80286
401	25076	80283
402	25418	81111
403	25581	81365
404	25647	81312
405	25718	81273
406	25797	81260
407	25851	81166
408	25912	81094
409	25982	81051
410	26036	80958
